"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","AGEA1"
"VT","(AGE)Please type in your age. 请输入您的年龄"
"HT","Header A"
"BT","value1.All Respondents"
"TB","QMSTAA1"
"VT","(QMSTA)Which of these statements best applies to you now?(OCO) 请问以下哪一项最适合描述您目前的情况呢？(单选)"
"HT","Header A"
"BT","value1.All Respondents"
"CH",,"Total"
"CL",,"(a)"
"RT","总体",345.0
"PV",,100.0
"RW","Single单身",67.0
"PV",,19.4202898550725
"MK",," "
"RW","Married with kids已婚 – 有孩子",241.0
"PV",,69.8550724637681
"MK",," "
"RW","Married no kids已婚– 没孩子",14.0
"PV",,4.05797101449275
"MK",," "
"RW","Divorced / Separated with kids离婚 / 分居– 有孩子",15.0
"PV",,4.34782608695652
"MK",," "
"RW","Divorced / Separated no kids离婚 / 分居 -没孩子",3.0
"PV",,0.869565217391304
"MK",," "
"RW","Widowed with kids丧偶– 有孩子",4.0
"PV",,1.15942028985507
"MK",," "
"RW","Widowed no kids丧偶 -没孩子",1.0
"PV",,0.289855072463768
"MK",," "
"TE"
"EN"
